count,author
1,0kalekale
1,2KAbhishek
1,abisxir
1,accodeing
1,acikek
1,adam-mcdaniel
1,adelq
1,AdrianV
1,adyxax
1,Aearnus
1,ahcm
1,Ahrotahn
1,aisk
1,akavel
1,al-bimani
1,aleandros
1,alex-laskin
1,alialrahahleh
1,amaank404
1,Amrykid
1,andreas-wilm
1,AngelEzquerra
1,angluca
1,angus-lherrou
1,annaaurora
1,apahl
1,aphkyle
1,aquilax
1,artemklevtsov
1,arturo-lang
1,attakei
1,Aveheuzed
1,awr1
1,AzamShafiul
1,baabelfish
1,barnybug
1,Beamdog
1,benob
1,berquist
1,betofloresbaca
1,BigEpsilon
1,bit0r1n
1,bitstormGER
1,blakeanedved
1,blamestross
1,bob16795
1,bpr
1,c0ffeeartc
1,c0ntribut0r
1,c6h4clch3
1,calcit-lang
1,calebwin
1,Calinou
1,captainbland
1,Carpall
1,casey-SK
1,ceebeel
1,choltreppe
1,CodeDoes
1,coocheenin
1,CosmicToast
1,Cu7ious
1,cwpearson
1,D4D3VD4V3
1,d4rckh
1,dadadani
1,daehee
1,DangerOnTheRanger
1,danielecook
1,DavideGalilei
1,David-Kunz
1,DavidMeagher1
1,deadshot465
1,de-odex
1,diegogub
1,dimspith
1,docopt
1,doongjohn
1,drjdn
1,Druage
1,drygdryg
1,ducdetronquito
1,dvolk
1,dylhack
1,ebran
1,edubart
1,egeoz
1,eggplants
1,elddy
1,Electric-Blue
1,elijahr
1,endes123321
1,Ephiiz
1,ephja
1,eqf0
1,erhlee-bird
1,ErikWDev
1,esbullington
1,~euantorano
1,eversinc33
1,eXodiquas
1,faulander
1,FedeOmoto
1,felipetesc
1,filcuc
1,FlorianRauls
1,Foldover
1,foliant-docs
1,forlan-ua
1,fox-cat
1,fredrikhr
1,gcao
1,georgelemon
1,geotre
1,ggonnella
1,gitweb
1,Glasses-Neo
1,greencardamom
1,greenfork
1,guevara-chan
1,halonium
1,hdbg
1,hectormonacci
1,henryas
1,hiikion
1,Himujjal
1,hnicke
1,HTGenomeAnalysisUnit
1,hugogranstrom
1,Hydra820
1,hyu1996
1,IcedQuinn
1,IDF31
1,Imperator26
1,ImVexed
1,infinitybeond1
1,inim-repl
1,ioplker
1,IoTone
1,isthisnagee
1,its5Q
1,ivankoster
1,jackvandrunen
1,jan0sc
1,jasonlu7
1,jasonprogrammer
1,jayvanderwall
1,jboy
1,jerous86
1,JesterOrNot
1,jfilby
1,jhbadger
1,johnconway
1,joryschossau
1,jrenner
1,julienaubert
1,KaceCottam
1,kaitai-io
1,karaxnim
1,Kashiwara0205
1,KatrinaKitten
1,KayraG
1,kdheepak
1,kedean
1,KeepCoolWithCoolidge
1,kidandcat
1,kijowski
1,KingDarBoja
1,kixixixixi
1,kobi2187
1,kraptor
1,krisppurg
1,kristianmandrup
1,Krognol
1,krux02
1,kyoheiu
1,lamartire
1,lambci
1,lantos-lgtm
1,lee-b
1,LemonHX
1,lenniezelk
1,leonardoce
1,lguzzon-NIM
1,loloicci
1,lorycontixd
1,LucaWolf
1,luminosoda
1,lzoz
1,m13253
1,m33m33
1,M4RC3L05
1,malicious-commit-detector
1,manguluka
1,marcoapintoo
1,markpbaggett
1,mark-summerfield
1,matthewjcavalier
1,maubg-debug
1,maxgrenderjones
1,MaxUNof
1,mcilya
1,me7
1,megawac
1,ment1na
1,metacontainer
1,metasyn
1,metatexx
1,mfiano
1,MhedhebiIssam
1,michaelsbradleyjr
1,micklat
1,Mihara
1,milisarge
1,Miqueas
1,misebox
1,~mjaa
1,mkanenobu
1,Mnenmenth
1,molnarmark
1,mpinese
1,MrJohz
1,mrshu
1,myamyu
1,Mythical-Forest-Collective
1,mzteruru52
1,napalu
1,neonnnnn
1,nepeckman
1,nigredo-tori
1,niklaskorz
1,NimCompression
1,nimgram
1,nim-lang-cn
1,nimlibs
1,NimParsers
1,nim-works
1,nnahito
1,nocturn9x
1,nonimportant
1,not-lum
1,obemaru4012
1,olahol
1,oliversandli
1,onecodex
1,onelivesleft
1,OrgTangle
1,owlinux1000
1,paradox460
1,paulnorrie
1,Periapsis-Studios
1,petermora
1,PhilippMDoerner
1,piedar
1,plenarius
1,pmetras
1,pouriyajamshidi
1,prefixaut
1,pseudo-random
1,psypac
1,radekm
1,rafaelvasco
1,rafmst
1,rburmorrison
1,reactormonk
1,rehartmann
1,RemiliaScarlet
1,rgv151
1,Riderfighter
1,rmt
1,rnentjes
1,rokups
1,rolandgg
1,rominf
1,roose
1,rotu
1,RSDuck
1,rsirres
1,rspeer
1,s3pt3mb3r
1,samuelroy
1,saratchandra92
1,sauerbread
1,scemino
1,sergiotapia
1,shakna-israel
1,sharpcdf
1,shaunc
1,shayanhabibi
1,shinriyo
1,shoyu777
1,sigmapie8
1,SimplyZ
1,singularperturbation
1,sivchari
1,skrylar
1,skunkiferous
1,skyforce77
1,SkyVault
1,smallfx
1,snej
1,soraiemame
1,srwiley
1,stavenko
1,stefantalpalaru
1,superfunc
1,super-massive-black-holes
1,surf1nb1rd
1,t8m8
1,TakeYourFreedom
1,tandy-1000
1,Tangdongle
1,tdely
1,teob97
1,tervay
1,theduke
1,thisNimAgo
1,Timofffee
1,timotheecour
1,tontinton
1,tormaroe
1,Torro
1,toshikiohnogi
1,TriedAngle
1,trustable-code
1,Tyler-Yocolano
1,u1and0
1,ucpr
1,ul
1,Unaimend
1,undecided
1,unimorg
1,V0idMatr1x
1,Vaipex
1,vandot
1,Varriount
1,vindaar
1,vktec
1,vsajip
1,vtbassmatt
1,vycb
1,walkre-niboshi
1,watzon
1,waylon531
1,WeebNetsu
1,williamd1k0
1,WilliamDraco
1,williamhatcher
1,willyboar
1,wioenena-q
1,wolfadex
1,xbello
1,xcodz-dot
1,Xe
1,xland
1,xomachine
1,xxtea
1,xyb
1,xyz32
1,xzfc
1,yuchunzhou
1,zah
1,zengxs
1,zero-functional
1,ziotom78
1,zoispag
1,zws-im
2,6A
2,Adeohluwa
2,adokitkat
2,aidansteele
2,akiradeveloper
2,Akito13
2,al6x
2,alehander42
2,arnetheduck
2,autumngray
2,BarrOff
2,Bennyelg
2,beshrkayali
2,binhonglee
2,bio-nim
2,blmvxer
2,boydgreenfield
2,cjxgm
2,C-NERD
2,cowboy-coders
2,davidgarland
2,D-Nice
2,EchoPouet
2,EmbeddedNim
2,emef
2,emekoi
2,enimatek-nl
2,eris
2,Ethosa
2,fenekku
2,flaviut
2,flyx
2,fox0430
2,fragcolor-xyz
2,fragworks
2,GabrielLasso
2,gmshiba
2,HugoGranstrom
2,idlewan
2,ijneb
2,Infinitybeond1
2,iourinski
2,irskep
2,ithkuil
2,itsumura-h
2,jakubDoka
2,jamesalbert
2,jasonk000
2,jasonrbriggs
2,Jeff-Ciesielski
2,jiiihpeeh
2,jjv360
2,joachimschmidt557
2,jpoirier
2,jrfondren
2,kerrycobb
2,KittyTechnoProgrammer
2,lbartoletti
2,leeooox
2,levovix0
2,linksplatform
2,lmariscal
2,lompik
2,luked99
2,madprops
2,marcomq
2,mashingan
2,MasonMcGill
2,Matceporial
2,mattaylor
2,MerosCrypto
2,Michedev
2,miere43
2,mildred
2,minefuto
2,mjendrusch
2,mjfh
2,nimgl
2,Niminem
2,nonnil
2,oprypin
2,oskca
2,Parashurama
2,paul-nameless
2,pigmej
2,Psirus
2,qb-0
2,qqtop
2,RaimundHuebel
2,~reesmichael1
2,Rekihyt
2,ReneSac
2,rogercloud
2,rosado
2,sillibird
2,sinkingsugar
2,skylar
2,snus-kin
2,solitudesf
2,squattingmonk
2,SSPkrolik
2,stscoundrel
2,sumatoshi
2,tandy1000
2,technicallyagd
2,termermc
2,Udiknedormin
2,uga-rosa
2,vanyle
2,VitorGoatman
2,Willyboar
2,wltsmrz
2,xigoi
2,~xigoi
2,xioren
2,xrfez
2,xzeshen
2,yyoncho
2,zedeus
2,zer0-star
3,2vg
3,abbeymart
3,alaviss
3,AmanoTeam
3,apense
3,aruZeta
3,can-lehmann
3,cheatfate
3,chocobo333
3,Cirru
3,Clonkk
3,ct-clmsn
3,dariolah
3,define-private-public
3,dfdeshom
3,eagledot
3,exelotl
3,flenniken
3,foxoman
3,ftsf
3,gabbhack
3,Guevara-chan
3,guibar64
3,Halsys
3,haltcase
3,hiteshjasani
3,jabbalaci
3,j-james
3,keyme
3,LemonBoy
3,lihf8515
3,luisacosta828
3,mahlonsmith
3,makingspace
3,MarcAzar
3,matkuki
3,mikra01
3,MnlPhlp
3,moigagoo
3,mratsim
3,mrhdias
3,muxueqz
3,Narazaka
3,nim-appkit
3,numforge
3,OHermesJunior
3,oswjk
3,pdrb
3,pmunch
3,prettybauble
3,quelklef
3,rlipsc
3,rxi
3,ryukoposting
3,Senketsu
3,soasme
3,supranim
3,vitreo12
4,bichanna
4,CORDEA
4,dizzyliam
4,Double-oxygeN
4,elcritch
4,fallingduck
4,icyphox
4,j-a-s-d
4,JeffersonLab
4,kaushalmodi
4,lcrees
4,narimiran
4,niv
4,nortero-code
4,olliNiinivaara
4,onionhammer
4,philip-wernersbach
4,pietroppeter
4,Q-Master
4,rustomax
4,schneiderfelipe
4,sls1005
4,stefansalewski
4,subsetpark
4,tormund
4,twist-vector
4,z-kk
5,ansiwave
5,avahe-kellenberger
5,ayman-albaz
5,beef331
5,codehz
5,GULPF
5,guzba
5,jlp765
5,jxy
5,Nycto
5,pragmagic
5,RainbowAsteroids
5,sealmove
5,srozb
5,stisa
5,thechampagne
5,YesDrX
5,zevv
6,bluenote10
6,bunkford
6,ethosa
6,iffy
6,inv2004
6,liquid600pgm
6,nimscale
6,openpeep
6,Patitotective
6,ruivieira
6,samdmarshall
6,Vladar4
7,brentp
7,capocasa
7,gokr
7,johnnovak
7,Skrylar
7,theAkito
7,tonogram
7,tulayang
7,vegansk
7,zendbit
7,zielmicha
8,def-
8,ire4ever1190
8,jackhftang
8,khchen
8,metagn
8,paranim
8,planety
8,rockcavera
8,Vindaar
8,zacharycarter
9,barcharcraz
9,momeemt
9,nitely
10,enthus1ast
10,euantorano
10,h3rald
10,jyapayne
10,markspanbroek
10,SciNim
10,Yardanico
11,hamidb80
11,xmonader
12,fowlmouth
12,jangko
12,OpenSystemsLab
13,Araq
13,c-blake
13,haxscramper
13,JohnAD
13,ringabout
14,SolitudeSF
16,planetis-m
17,dom96
18,andreaferretti
18,~ehmry
18,nimious
19,ThomasTJdev
20,bung87
24,ba0f3
24,disruptek
25,jiro4989
26,FedericoCeratto
27,yglukhov
29,thisago
32,PMunch
39,achesak
43,treeform
45,genotrance
45,nim-lang
57,status-im
66,juancarlospaco
